Sample,Protein,Total Area
c2b3_23-R2,tr|A1U2T0|A1U2T0_MARHV,32743
c2b3_23-R2,tr|A1U3L3|A1U3L3_MARHV,0
c2b3_23-R3,sp|P27250|AHR_ECOLI,1888
c2b3_23-R3,sp|P69451|LCFA_ECOLI,1785
c2b3_23-R3,sp|Q41635|FATB_UMBCA,53796
c2b3_23-R3,sp|Q6F7B8|ACR1_ACIAD,2530
c2b3_23-R3,tr|A1U2T0|A1U2T0_MARHV,34253
c2b3_23-R3,tr|A1U3L3|A1U3L3_MARHV,1682
c2b3_5-R1,sp|P27250|AHR_ECOLI,3819
c2b3_5-R1,sp|P69451|LCFA_ECOLI,82467
c2b3_5-R1,sp|Q41635|FATB_UMBCA,157963
c2b3_5-R1,sp|Q6F7B8|ACR1_ACIAD,0
c2b3_5-R1,tr|A1U2T0|A1U2T0_MARHV,1052
c2b3_5-R1,tr|A1U3L3|A1U3L3_MARHV,463422
c2b3_5-R2,sp|P27250|AHR_ECOLI,5006
c2b3_5-R2,sp|P69451|LCFA_ECOLI,85676
c2b3_5-R2,sp|Q41635|FATB_UMBCA,169402
c2b3_5-R2,sp|Q6F7B8|ACR1_ACIAD,0
c2b3_5-R2,tr|A1U2T0|A1U2T0_MARHV,3470
c2b3_5-R2,tr|A1U3L3|A1U3L3_MARHV,498307
c2b3_5-R3,sp|P27250|AHR_ECOLI,3696
c2b3_5-R3,sp|P69451|LCFA_ECOLI,92348
c2b3_5-R3,sp|Q41635|FATB_UMBCA,174537
c2b3_5-R3,sp|Q6F7B8|ACR1_ACIAD,2607
c2b3_5-R3,tr|A1U2T0|A1U2T0_MARHV,3313
c2b3_5-R3,tr|A1U3L3|A1U3L3_MARHV,525089
c2b3_7-R1,sp|P27250|AHR_ECOLI,1775
c2b3_7-R1,sp|P69451|LCFA_ECOLI,153996
c2b3_7-R1,sp|Q41635|FATB_UMBCA,126561
c2b3_7-R1,sp|Q6F7B8|ACR1_ACIAD,873
c2b3_7-R1,tr|A1U2T0|A1U2T0_MARHV,4193
c2b3_7-R1,tr|A1U3L3|A1U3L3_MARHV,680036
c2b3_7-R2,sp|P27250|AHR_ECOLI,1954
c2b3_7-R2,sp|P69451|LCFA_ECOLI,156265
c2b3_7-R2,sp|Q41635|FATB_UMBCA,134496
