Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Media,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,0.0,27.0
47082,Ajinomoto Cycle 1,,47173,b3-16-1,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48264,b3-16-1,A1U2T0_MARHV,,2017-09-06 22:22:20.432330+00:00,hours,,4053.0,
47082,Ajinomoto Cycle 1,,47178,b3-18-3,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48269,b3-18-3,LCFA_ECOLI,,2017-09-06 22:22:21.331517+00:00,hours,,309202.0,
47082,Ajinomoto Cycle 1,,47172,b3-13-3,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48263,b3-13-3,A1U2T0_MARHV,,2017-09-06 22:22:20.228399+00:00,hours,,10366.0,
47082,Ajinomoto Cycle 1,,47178,b3-18-3,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48269,b3-18-3,FATB_UMBCA,,2017-09-06 22:22:21.370699+00:00,hours,,88388.0,
47082,Ajinomoto Cycle 1,,47171,b3-13-2,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48262,b3-13-2,A1U2T0_MARHV,,2017-09-06 22:22:20.024473+00:00,hours,,12835.0,
47082,Ajinomoto Cycle 1,,47170,b3-13-1,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48261,b3-13-1,A1U2T0_MARHV,,2017-09-06 22:22:19.815732+00:00,hours,,12448.0,
47082,Ajinomoto Cycle 1,,47173,b3-16-1,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48264,b3-16-1,LCFA_ECOLI,,2017-09-06 22:22:20.329851+00:00,hours,,99672.0,
47082,Ajinomoto Cycle 1,,47169,b3-10-3,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48260,b3-10-3,A1U2T0_MARHV,,2017-09-06 22:22:19.614742+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47175,b3-16-3,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48266,b3-16-3,LCFA_ECOLI,,2017-09-06 22:22:20.728701+00:00,hours,,93288.0,
47082,Ajinomoto Cycle 1,,47168,b3-10-2,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48259,b3-10-2,A1U2T0_MARHV,,2017-09-06 22:22:19.412964+00:00,hours,,376.0,
47082,Ajinomoto Cycle 1,,47176,b3-18-1,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48267,b3-18-1,LCFA_ECOLI,,2017-09-06 22:22:20.929553+00:00,hours,,303399.0,
47082,Ajinomoto Cycle 1,,47167,b3-10-1,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48258,b3-10-1,A1U2T0_MARHV,,2017-09-06 22:22:19.213527+00:00,hours,,736.0,
47082,Ajinomoto Cycle 1,,47196,b3-08-3,F,JBEI-17791,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48257,b3-08-3,A1U2T0_MARHV,,2017-09-06 22:22:19.010679+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47176,b3-18-1,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48267,b3-18-1,FATB_UMBCA,,2017-09-06 22:22:20.961771+00:00,hours,,91015.0,
47082,Ajinomoto Cycle 1,,47195,b3-08-2,F,JBEI-17791,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48256,b3-08-2,A1U2T0_MARHV,,2017-09-06 22:22:18.811500+00:00,hours,,512.0,
47082,Ajinomoto Cycle 1,,47175,b3-16-3,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48266,b3-16-3,FATB_UMBCA,,2017-09-06 22:22:20.762668+00:00,hours,,105837.0,
47082,Ajinomoto Cycle 1,,47175,b3-16-3,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48266,b3-16-3,ACR1_ACIAD,,2017-09-06 22:22:20.796470+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47174,b3-16-2,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48265,b3-16-2,ACR1_ACIAD,,2017-09-06 22:22:20.597201+00:00,hours,,452.0,
47082,Ajinomoto Cycle 1,,47195,b3-08-2,F,JBEI-17791,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48256,b3-08-2,ACR1_ACIAD,,2017-09-06 22:22:18.778663+00:00,hours,,814.0,
47082,Ajinomoto Cycle 1,,47169,b3-10-3,F,JBEI-17798,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48260,b3-10-3,ACR1_ACIAD,,2017-09-06 22:22:19.581073+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47171,b3-13-2,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48262,b3-13-2,ACR1_ACIAD,,2017-09-06 22:22:19.991295+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47172,b3-13-3,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48263,b3-13-3,ACR1_ACIAD,,2017-09-06 22:22:20.194135+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47172,b3-13-3,F,JBEI-17807,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48263,b3-13-3,LCFA_ECOLI,,2017-09-06 22:22:20.126475+00:00,hours,,208068.0,
